file name	variable name	current value	ida value
WorldServer\Entities\AutoMineMachineMng.cpp	s_szOreKind_160	<multiline-init>	0x140970BC8 char_ptr_array[5] [0x1407C59A0:"ioblu04", 0x1407C59A8:"iored04", 0x1407C59B0:"ioyel04", 0x1407C59B8:"iogre04", 0x1407C59C0:"iobla04"]
WorldServer\Entities\AutoMineMachineMng.cpp	s_tmLocal	{}	0x184A6F5D8 bytes[16] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\AutoMineMachineMng.h	m_pInstance	<decl-only>	<ambiguous-name:6>
WorldServer\Entities\AutominePersonalMgr.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\BossSchedule.cpp	BossSchedule::ms_KeyPair	{"MOBCODE", "LTTM", "LIVE"}	0x140973108 char_ptr_array[3] [0x1408369E8:"MOBCODE", 0x1408369F0:"LTTM", 0x1408369F8:"LIVE"]
WorldServer\Entities\CActionPointSystemMgr.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CandidateMgr.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CAnimus.cpp	kFiles	<multiline-init>	<not-found>
WorldServer\Entities\CAnimus.cpp	s_animusObjectName	{}	<not-found>
WorldServer\Entities\CAnimus.h	MAX_EXP	<decl-only>	0x141344C80 bytes[64] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\CAnimus.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CAnimus.h	s_tblParameter	<decl-only>	0x141344CC0 bytes[1408] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CashItemRemoteStore.h	_phmapTbl	<decl-only>	<ambiguous-name:2>
WorldServer\Entities\CashItemRemoteStore.h	_pkInstance	<decl-only>	<ambiguous-name:10>
WorldServer\Entities\CAsyncLogger.cpp	s_instance	<decl-only>	<not-found>
