"file","line","name","pack","in_pack1"
"WorldServer\Entities\a_trade_adjust_price_request_clzo.h","6","_a_trade_adjust_price_request_clzo","1","True"
"WorldServer\Entities\a_trade_adjust_price_result_zocl.h","6","_a_trade_adjust_price_result_zocl","1","True"
"WorldServer\Entities\a_trade_clear_item_request_clzo.h","6","_a_trade_clear_item_request_clzo","1","True"
"WorldServer\Entities\a_trade_clear_item_result_zocl.h","6","_a_trade_clear_item_result_zocl","1","True"
"WorldServer\Entities\a_trade_reg_item_request_clzo.h","6","_a_trade_reg_item_request_clzo","1","True"
"WorldServer\Entities\add_lend_item_result_zocl.h","6","_add_lend_item_result_zocl","1","True"
"WorldServer\Entities\alive_char_result_zocl.h","7","_alive_char_result_zocl","1","True"
"WorldServer\Entities\alter_action_point_zocl.h","6","_alter_action_point_zocl","1","True"
"WorldServer\Entities\alter_cont_effect_time_zocl.h","6","_alter_cont_effect_time_zocl","1","True"
"WorldServer\Entities\alter_item_slot_request_clzo.h","6","_alter_item_slot_request_clzo","1","True"
"WorldServer\Entities\alter_link_slot_request_clzo.h","6","_alter_link_slot_request_clzo","1","True"
"WorldServer\Entities\alter_party_loot_share_request_clzo.h","6","_alter_party_loot_share_request_clzo","1","True"
"WorldServer\Entities\AmuletItem_fld.h","8","_AmuletItem_fld","1","True"
"WorldServer\Entities\animus_download_result_zocl.h","6","_animus_download_result_zocl","1","True"
"WorldServer\Entities\animus_fld.h","7","_animus_fld","1","True"
"WorldServer\Entities\AnimusItem_fld.h","7","_AnimusItem_fld","1","True"
"WorldServer\Entities\atrade_taxrate_result_zocl.h","6","_atrade_taxrate_result_zocl","1","True"
"WorldServer\Entities\attack_count_result_zocl.h","7","_attack_count_result_zocl","1","True"
"WorldServer\Entities\attack_force_result_zocl.h","7","_attack_force_result_zocl","1","True"
"WorldServer\Entities\attack_gen_result_zocl.h","6","_attack_gen_result_zocl","1","True"
"WorldServer\Entities\attack_selfdestruction_result_zocl.h","7","_attack_selfdestruction_result_zocl","1","True"
"WorldServer\Entities\attack_siege_result_zocl.h","7","_attack_siege_result_zocl","1","True"
"WorldServer\Entities\attack_skill_result_zocl.h","7","_attack_skill_result_zocl","1","True"
"WorldServer\Entities\attack_unit_result_zocl.h","7","_attack_unit_result_zocl","1","True"
"WorldServer\Entities\AutoMineMachineMng.h","461","_pt_automine_charge_money_db_update_fail_zocl","1","True"
"WorldServer\Entities\BagItem_fld.h","8","_BagItem_fld","1","True"
"WorldServer\Entities\base_download_result_zocl.h","6","_base_download_result_zocl","1","True"
"WorldServer\Entities\base_fld.h","6","_base_fld","1","True"
"WorldServer\Entities\BatteryItem_fld.h","8","_BatteryItem_fld","1","True"
"WorldServer\Entities\BattleDungeonItem_fld.h","8","_BattleDungeonItem_fld","1","True"
"WorldServer\Entities\BootyItem_fld.h","8","_BootyItem_fld","1","True"
"WorldServer\Entities\BoxItem_fld.h","8","_BoxItem_fld","1","True"
"WorldServer\Entities\BulletItem_fld.h","7","_BulletItem_fld","1","True"
"WorldServer\Entities\buy_store_failure_zocl.h","6","_buy_store_failure_zocl","1","True"
"WorldServer\Entities\buy_store_request_clzo.h","6","_buy_store_request_clzo","1","True"
"WorldServer\Entities\buy_store_success_zocl.h","6","_buy_store_success_zocl","1","True"
"WorldServer\Entities\CandidateRegister.h","10","_pt_result_fcandidacy_list_zocl","1","True"
"WorldServer\Entities\CashShop_fld.h","7","_CashShop_fld","1","True"
"WorldServer\Entities\CashShop_str_fld.h","7","_CashShop_str_fld","1","True"
"WorldServer\Entities\character_disconnect_result_wrac.h","6","_character_disconnect_result_wrac","1","True"
"WorldServer\Entities\chat_far_failure_zocl.h","6","_chat_far_failure_zocl","1","True"
"WorldServer\Entities\chat_guild_failure_zocl.h","6","_chat_guild_failure_zocl","1","True"
"WorldServer\Entities\chat_lock_inform_zocl.h","6","_chat_lock_inform_zocl","1","True"
"WorldServer\Entities\chat_multi_far_failure_zocl.h","6","_chat_multi_far_failure_zocl","1","True"
"WorldServer\Entities\chat_multi_far_trans_zocl.h","6","_chat_multi_far_trans_zocl","1","True"
"WorldServer\Entities\chat_steal_message_gm_zocl.h","6","_chat_steal_message_gm_zocl","1","True"
"WorldServer\Entities\CheckPotion_fld.h","7","_CheckPotion_fld","1","True"
"WorldServer\Entities\CHonorGuild.h","8","_guild_honor_list_result_zocl","1","True"
"WorldServer\Entities\class_fld.h","18","_class_fld","1","True"
"WorldServer\Entities\ClassOrderProcessor.cpp","18","_pt_propose_appoint_zocl","1","True"
"WorldServer\Entities\CloakItem_fld.h","10","_CloakItem_fld","1","True"
"WorldServer\Entities\CMainThread.h","1055","_base_fld","1","True"
"WorldServer\Entities\CMainThread.h","1854","_personal_amine_mineore_zocl","1","True"
"WorldServer\Entities\CMainThread.h","1873","_personal_automine_uninstall_zocl","1","True"
"WorldServer\Entities\CMainThread.h","1893","_personal_automine_uninstall_circle_zocl","1","True"
"WorldServer\Entities\CMainThread.h","1903","_personal_automine_current_state_zocl","1","True"
"WorldServer\Entities\CMainThread.h","2569","_guild_member_download_zocl","1","True"
"WorldServer\Entities\CMainThread.h","2590","_guild_applier_download_zocl","1","True"
"WorldServer\Entities\CMainThread.h","2597","_guild_query_info_result_zocl","1","True"
"WorldServer\Entities\CMainThread.h","2611","_guild_money_io_download_zocl","1","True"
"WorldServer\Entities\CMainThread.h","2618","_guild_member_buddy_download_zocl","1","True"
"WorldServer\Entities\CNuclearBombMgr.h","10","_nuclear_bomb_current_state_zocl","1","True"
"WorldServer\Entities\combine_ex_item_accept_request_clzo.h","7","_combine_ex_item_accept_request_clzo","1","True"
"WorldServer\Entities\combine_ex_item_accept_result_zocl.h","6","_combine_ex_item_accept_result_zocl","1","True"
"WorldServer\Entities\combine_ex_item_request_clzo.h","6","_combine_ex_item_request_clzo","1","True"
"WorldServer\Entities\combine_ex_item_result_zocl.h","7","_combine_ex_item_result_zocl","1","True"
"WorldServer\Entities\combine_item_request_clzo.h","7","_combine_item_request_clzo","1","True"
"WorldServer\Entities\CouponItem_fld.h","8","_CouponItem_fld","1","True"
"WorldServer\Entities\CPlayer.h","902","_target_monster_contsf_allinform_zocl","1","True"
"WorldServer\Entities\CPlayer.h","918","_target_player_damage_contsf_allinform_zocl","1","True"
"WorldServer\Entities\CPlayer.h","1006","_other_shape_all_zocl","1","True"
"WorldServer\Entities\CPlayer.h","1036","_other_shape_part_zocl","1","True"
"WorldServer\Entities\CPvpOrderView.h","9","_pvp_order_view_inform_zocl","1","True"
"WorldServer\Entities\create_holy_master_zocl.h","6","_create_holy_master_zocl","1","True"
"WorldServer\Entities\CTotalGuildRankInfo.h","24","_total_guild_rank_result_zocl","1","True"
"WorldServer\Entities\cum_download_result_zocl.h","7","_cum_download_result_zocl","1","True"
"WorldServer\Entities\CUnmannedTraderUserInfo.cpp","88","_unmannedtrader_sell_wait_item_inform_zocl","1","True"
"WorldServer\Entities\CVoteSystem.h","11","_started_vote_inform_zocl","1","True"
"WorldServer\Entities\CWeeklyGuildRankInfo.h","81","_weekly_guild_rank_result_zocl","1","True"
"WorldServer\Entities\darkhole_answer_reenter_result_zocl.h","6","_darkhole_answer_reenter_result_zocl","1","True"
"WorldServer\Entities\darkhole_ask_reenter_inform_zocl.h","6","_darkhole_ask_reenter_inform_zocl","1","True"
"WorldServer\Entities\darkhole_channel_close_inform_zocl.h","6","_darkhole_channel_close_inform_zocl","1","True"
"WorldServer\Entities\darkhole_clear_out_result_zocl.h","6","_darkhole_clear_out_result_zocl","1","True"
"WorldServer\Entities\darkhole_create_zocl.h","6","_darkhole_create_zocl","1","True"
"WorldServer\Entities\darkhole_destroy_zocl.h","6","_darkhole_destroy_zocl","1","True"
"WorldServer\Entities\darkhole_enter_result_zocl.h","6","_darkhole_enter_result_zocl","1","True"
"WorldServer\Entities\darkhole_fixpositon_zocl.h","6","_darkhole_fixpositon_zocl","1","True"
"WorldServer\Entities\darkhole_giveup_out_result_zocl.h","6","_darkhole_giveup_out_result_zocl","1","True"
"WorldServer\Entities\darkhole_job_count_inform_zocl.h","6","_darkhole_job_count_inform_zocl","1","True"
"WorldServer\Entities\darkhole_job_pass_inform_zocl.h","6","_darkhole_job_pass_inform_zocl","1","True"
"WorldServer\Entities\darkhole_leader_change_inform_zocl.h","6","_darkhole_leader_change_inform_zocl","1","True"
"WorldServer\Entities\darkhole_member_info_inform_zocl.h","6","_darkhole_member_info_inform_zocl","1","True"
"WorldServer\Entities\darkhole_mission_info_inform_zocl.h","6","_darkhole_mission_info_inform_zocl","1","True"
"WorldServer\Entities\darkhole_mission_pass_inform_zocl.h","6","_darkhole_mission_pass_inform_zocl","1","True"
"WorldServer\Entities\darkhole_mission_quest_inform_zocl.h","6","_darkhole_mission_quest_inform_zocl","1","True"
"WorldServer\Entities\darkhole_new_member_inform_zocl.h","6","_darkhole_new_member_inform_zocl","1","True"
"WorldServer\Entities\darkhole_new_mission_inform_zocl.h","6","_darkhole_new_mission_inform_zocl","1","True"
"WorldServer\Entities\darkhole_open_all_portal_by_result_inform_zocl.h","6","_darkhole_open_all_portal_by_result_inform_zocl","1","True"
"WorldServer\Entities\darkhole_open_portal_by_react_inform_zocl.h","6","_darkhole_open_portal_by_react_inform_zocl","1","True"
"WorldServer\Entities\darkhole_open_result_zocl.h","6","_darkhole_open_result_zocl","1","True"
"WorldServer\Entities\darkhole_outof_member_inform_zocl.h","6","_darkhole_outof_member_inform_zocl","1","True"
"WorldServer\Entities\darkhole_quest_info_inform_zocl.h","6","_darkhole_quest_info_inform_zocl","1","True"
"WorldServer\Entities\darkhole_real_add_time_inform_zocl.h","6","_darkhole_real_add_time_inform_zocl","1","True"
"WorldServer\Entities\darkhole_real_msg_inform_zocl.h","6","_darkhole_real_msg_inform_zocl","1","True"
"WorldServer\Entities\darkhole_state_change_zocl.h","6","_darkhole_state_change_zocl","1","True"
"WorldServer\Entities\darkhole_timeout_inform_zocl.h","6","_darkhole_timeout_inform_zocl","1","True"
"WorldServer\Entities\DfnEquipItem_fld.h","8","_DfnEquipItem_fld","1","True"
"WorldServer\Entities\DqsOnRunPayloads.h","142","_manage_client_limit_run_request_acwr","1","True"
"WorldServer\Entities\EditData_fld.h","13","_EditData_fld","1","True"
"WorldServer\Entities\ElectPacketTypes.h","6","_pt_trans_votepaper_zocl","1","True"
"WorldServer\Entities\ElectPacketTypes.h","27","_pt_notify_vote_score_zocl","1","True"
"WorldServer\Entities\ElectPacketTypes.h","55","_pt_appoint_inform_request_zocl","1","True"
"WorldServer\Entities\ElectPacketTypes.h","72","_pt_query_appoint_zocl","1","True"
"WorldServer\Entities\enter_lobby_report_wrac.h","7","_enter_lobby_report_wrac","1","True"
"WorldServer\Entities\enter_world_request_wrac.h","7","_enter_world_request_wrac","1","True"
"WorldServer\Entities\equip_up_item_lv_limit_zocl.h","6","_equip_up_item_lv_limit_zocl","1","True"
"WorldServer\Entities\EventItem_fld.h","8","_EventItem_fld","1","True"
"WorldServer\Entities\exchange_lend_item_result_zocl.h","6","_combine_lend_item_result_zocl","1","True"
"WorldServer\Entities\exchange_lend_item_result_zocl.h","27","_exchange_lend_item_result_zocl","1","True"
"WorldServer\Entities\FaceItem_fld.h","8","_FaceItem_fld","1","True"
"WorldServer\Entities\FIRECRACKER_fld.h","8","_FIRECRACKER_fld","1","True"
"WorldServer\Entities\force_download_result_zocl.h","6","_force_download_result_zocl","1","True"
"WorldServer\Entities\force_fld.h","8","_force_fld","1","True"
"WorldServer\Entities\ForceItem_fld.h","8","_ForceItem_fld","1","True"
"WorldServer\Entities\gm_msg_gmcall_list_response_zocl.h","6","_gm_msg_gmcall_list_response_zocl","1","True"
