name	file	line	decl
DLGITEMTEMPLATE	tes.h	22879	struct __unaligned __declspec(align(2)) DLGITEMTEMPLATE
DLGTEMPLATEEX	tes.h	92772	struct __unaligned __declspec(align(2)) DLGTEMPLATEEX
IMAGE_AUX_SYMBOL_TOKEN_DEF	tes.h	66279	struct __unaligned __declspec(align(2)) IMAGE_AUX_SYMBOL_TOKEN_DEF
NMPGSCROLL	tes.h	60981	struct __unaligned __declspec(align(2)) NMPGSCROLL
PROPPRG	tes.h	61591	struct __unaligned __declspec(align(2)) PROPPRG
SHCOLUMNINFO	tes.h	63654	struct __unaligned __declspec(align(2)) SHCOLUMNINFO
_CHINA_MSG_HEADER	tes.h	52851	struct __unaligned __declspec(align(1)) _CHINA_MSG_HEADER
_IMAGE_LINENUMBER	tes.h	66403	struct __unaligned __declspec(align(2)) _IMAGE_LINENUMBER
_IMAGE_RELOCATION	tes.h	69265	struct __unaligned __declspec(align(2)) _IMAGE_RELOCATION
_IMAGE_SYMBOL	tes.h	64779	struct _IMAGE_SYMBOL::<unnamed_tag>::<unnamed_tag>
_LTD	tes.h	37413	struct __unaligned __declspec(align(1)) _LTD
_LTD_ARRAY_ITEM	tes.h	37427	struct __cppobj __unaligned __declspec(align(1)) _LTD_ARRAY_ITEM
_LTD_EXPEND	tes.h	37405	struct _LTD_EXPEND
_LTD_ITEMINFO	tes.h	37386	struct __unaligned __declspec(align(1)) _LTD_ITEMINFO::_iteminfo
_LTD_PARAM	tes.h	37434	struct __cppobj __unaligned __declspec(align(1)) _LTD_PARAM
_MINIDUMP_MODULE	tes.h	51253	struct __unaligned __declspec(align(4)) _MINIDUMP_MODULE
_MINIDUMP_MODULE_CALLBACK	tes.h	51239	struct _MINIDUMP_MODULE_CALLBACK
_MINIDUMP_THREAD_CALLBACK	tes.h	51369	struct __declspec(align(16)) _MINIDUMP_THREAD_CALLBACK
_MINIDUMP_THREAD_EX_CALLBACK	tes.h	51174	struct __declspec(align(16)) _MINIDUMP_THREAD_EX_CALLBACK
_RTC_ALLOCA_NODE	tes.h	101146	struct _RTC_ALLOCA_NODE
_SHChangeDWORDAsIDList	tes.h	72793	struct _SHChangeDWORDAsIDList
_SHChangeNotifyEntry	tes.h	68975	struct __unaligned __declspec(align(4)) _SHChangeNotifyEntry
_SHChangeUpdateImageIDList	tes.h	69413	struct _SHChangeUpdateImageIDList
_SHITEMID	tes.h	61287	struct __unaligned __declspec(align(1)) _SHITEMID
_a_trade_sell_inform_zocl	tes.h	56714	struct __unaligned __declspec(align(2)) _a_trade_sell_inform_zocl
_add_holyquest_actcum_inform_zocl	tes.h	81635	struct __unaligned __declspec(align(1)) _add_holyquest_actcum_inform_zocl
_adjust_amount_inform_zocl	tes.h	81364	struct __unaligned __declspec(align(1)) _adjust_amount_inform_zocl
_alive_char_request_clzo	tes.h	79233	struct __unaligned __declspec(align(1)) _alive_char_request_clzo
_alter_item_dur_zocl	tes.h	81529	struct __unaligned __declspec(align(1)) _alter_item_dur_zocl
_alter_money_inform_zocl	tes.h	81613	struct __unaligned __declspec(align(1)) _alter_money_inform_zocl
_alter_pvp_cash_zocl	tes.h	81581	struct __unaligned __declspec(align(1)) _alter_pvp_cash_zocl
_alter_ranking_inform_zocl	tes.h	81607	struct __unaligned __declspec(align(2)) _alter_ranking_inform_zocl
_alter_unit_bullet_inform_zocl	tes.h	81570	struct __unaligned __declspec(align(1)) _alter_unit_bullet_inform_zocl
_alter_unit_hp_inform_zocl	tes.h	81255	struct __unaligned __declspec(align(1)) _alter_unit_hp_inform_zocl
_animus_act_heal_inform_zocl	tes.h	80750	struct __unaligned __declspec(align(2)) _animus_act_heal_inform_zocl
_animus_create_zocl	tes.h	80694	struct __unaligned __declspec(align(1)) _animus_create_zocl
_animus_destroy_zocl	tes.h	80704	struct __unaligned __declspec(align(1)) _animus_destroy_zocl
_animus_exp_inform_zocl	tes.h	81295	struct __unaligned __declspec(align(2)) _animus_exp_inform_zocl
_animus_fixpositon_zocl	tes.h	80719	struct __unaligned __declspec(align(1)) _animus_fixpositon_zocl
_animus_lvup_inform_zocl	tes.h	80743	struct __unaligned __declspec(align(1)) _animus_lvup_inform_zocl
_animus_move_zocl	tes.h	80711	struct __unaligned __declspec(align(2)) _animus_move_zocl
_animus_real_move_zocl	tes.h	80730	struct __unaligned __declspec(align(1)) _animus_real_move_zocl
_animus_recall_result_zocl	tes.h	81261	struct __unaligned __declspec(align(1)) _animus_recall_result_zocl
_animus_return_result_zocl	tes.h	81271	struct _animus_return_result_zocl
_animus_target_request_clzo	tes.h	79298	struct __unaligned __declspec(align(1)) _animus_target_request_clzo
_apex_block_request_wrac	tes.h	52879	struct __unaligned __declspec(align(1)) _apex_block_request_wrac
_apex_send_ip	tes.h	52863	struct __cppobj __unaligned __declspec(align(1)) _apex_send_ip
_attack_force_request_clzo	tes.h	79910	struct __unaligned __declspec(align(1)) _attack_force_request_clzo
_attack_gen_request_clzo	tes.h	79889	struct _attack_gen_request_clzo
_attack_keeper_inform_zocl	tes.h	30509	struct __cppobj __unaligned __declspec(align(2)) _attack_keeper_inform_zocl
_attack_siege_request_clzo	tes.h	79927	struct _attack_siege_request_clzo
_attack_skill_request_clzo	tes.h	79898	struct _attack_skill_request_clzo
_attack_test_request_clzo	tes.h	29726	struct __cppobj __unaligned __declspec(align(1)) _attack_test_request_clzo
_attack_test_result_zocl	tes.h	80803	struct __unaligned __declspec(align(2)) _attack_test_result_zocl
_attack_tower_inform_zocl	tes.h	80639	struct __unaligned __declspec(align(1)) _attack_tower_inform_zocl
_attack_trap_inform_zocl	tes.h	32895	struct __cppobj __unaligned __declspec(align(2)) _attack_trap_inform_zocl
_attack_unit_request_clzo	tes.h	79920	struct _attack_unit_request_clzo
