name	required_pack	status	file	line	kind	current_pack	decl
ATL::_stdcallthunk	1	no_match_in_entities					
CEntity	1	missing_pack_scope	WorldServer/Entities/CBsp.h	169	class		class CEntity;
CEntity	1	missing_pack_scope	WorldServer/Entities/CEntity.h	26	class		class __cppobj __unaligned __declspec(align(4)) CEntity
CEntity	1	ok	WorldServer/Entities/CMainThread.h	59	class	1	class CEntity;
CEntity	1	ok	WorldServer/Entities/CPlayer.h	79	class	1	class CEntity;
DLGITEMTEMPLATE	1	no_match_in_entities					
DLGTEMPLATEEX	1	no_match_in_entities					
E1133113A46BC24BB251F24AE4F08A1B	1	no_match_in_entities					
IMAGE_AUX_SYMBOL_TOKEN_DEF	1	no_match_in_entities					
NMPGSCROLL	1	no_match_in_entities					
PROPPRG	1	no_match_in_entities					
SHCOLUMNINFO	1	no_match_in_entities					
_ANIMUS_DB_BASE::_LIST	1	no_match_in_entities					
_ANI_OBJECT	1	missing_pack_scope	WorldServer/Entities/CBsp.h	164	struct		struct _ANI_OBJECT;
_ANI_OBJECT	1	ok	WorldServer/Entities/CMainThread.h	51	struct	1	struct _ANI_OBJECT;
_ANI_OBJECT	1	ok	WorldServer/Entities/CMainThread.h	2368	struct	1	struct __unaligned __declspec(align(1)) _ANI_OBJECT
_ANI_OBJECT	1	ok	WorldServer/Entities/CPlayer.h	71	struct	1	struct _ANI_OBJECT;
_ANI_OBJECT	1	missing_pack_scope	WorldServer/Entities/WorldServerUtil.h	17	struct		struct _ANI_OBJECT;
_AVATOR_DATA	1	missing_pack_scope	WorldServer/Entities/CCheckSumCharacAccountTrunkData.h	6	struct		struct _AVATOR_DATA;
_AVATOR_DATA	1	missing_pack_scope	WorldServer/Entities/CCheckSumCharacTrunkConverter.h	8	struct		struct _AVATOR_DATA;
_AVATOR_DATA	1	ok	WorldServer/Entities/CMainThread.h	1778	struct	1	struct __cppobj __unaligned __declspec(align(1)) _AVATOR_DATA
_AVATOR_DATA	1	missing_pack_scope	WorldServer/Entities/CMgrAccountLobbyHistory.h	12	struct		struct _AVATOR_DATA;
