target	required_pack	status	skipped
ATL::_stdcallthunk	1	no_match_worldserver	1
CEntity	1	forward_decl_only	0
CEntity	1	ok	0
CEntity	1	forward_decl_only	0
CEntity	1	forward_decl_only	0
DLGITEMTEMPLATE	1	no_match_worldserver	1
DLGTEMPLATEEX	1	no_match_worldserver	1
E1133113A46BC24BB251F24AE4F08A1B	1	no_match_worldserver	1
IMAGE_AUX_SYMBOL_TOKEN_DEF	1	no_match_worldserver	1
NMPGSCROLL	1	no_match_worldserver	1
PROPPRG	1	no_match_worldserver	1
SHCOLUMNINFO	1	no_match_worldserver	1
_ANIMUS_DB_BASE::_LIST	1	ok	0
_ANI_OBJECT	1	forward_decl_only	0
_ANI_OBJECT	1	forward_decl_only	0
_ANI_OBJECT	1	ok	0
_ANI_OBJECT	1	forward_decl_only	0
_ANI_OBJECT	1	forward_decl_only	0
_AVATOR_DATA	1	forward_decl_only	0
_AVATOR_DATA	1	forward_decl_only	0
_AVATOR_DATA	1	ok	0
_AVATOR_DATA	1	forward_decl_only	0
_AVATOR_DATA	1	forward_decl_only	0
_AVATOR_DATA	1	forward_decl_only	0
_AVATOR_DATA	1	forward_decl_only	0
_AVATOR_DATA	1	forward_decl_only	0
_AVATOR_DATA	1	forward_decl_only	0
_AVATOR_DB_BASE	1	ok	0
_BSP_C_FACE	1	ok	0
_BSP_C_FACE	1	forward_decl_only	0
_BSP_C_FACE	1	forward_decl_only	0
_BSP_LEAF	1	ok	0
_BSP_LEAF	1	forward_decl_only	0
_BSP_LEAF	1	forward_decl_only	0
_BSP_MAT_GROUP	1	ok	0
_BSP_MAT_GROUP	1	forward_decl_only	0
_BSP_MAT_GROUP	1	forward_decl_only	0
_BSP_READ_FACE	1	ok	0
_BSP_READ_M_GROUP	1	ok	0
_BUDDY_DB_BASE::_LIST	1	ok	0
_CHINA_MSG_HEADER	1	ok	0
_CHRID	1	forward_decl_only	0
_CHRID	1	ok	0
_CLID	1	forward_decl_only	0
_CLID	1	ok	0
_CUTTING_DB_BASE	1	forward_decl_only	0
_CUTTING_DB_BASE	1	ok	0
_DB_LOAD_AUTOMINE_MACHINE	1	forward_decl_only	0
_DB_LOAD_AUTOMINE_MACHINE	1	forward_decl_only	0
_DB_LOAD_AUTOMINE_MACHINE	1	ok	0
_DELPOST_DB_BASE	1	ok	0
_ENTITY_M_GROUP	1	forward_decl_only	0
_ENTITY_M_GROUP	1	ok	0
_ENTITY_M_GROUP	1	forward_decl_only	0
_EQUIP_DB_BASE::_EMBELLISH_LIST	1	ok	0
_FORCE_DB_BASE::_LIST	1	ok	0
_IMAGE_LINENUMBER	1	no_match_worldserver	1
_IMAGE_RELOCATION	1	no_match_worldserver	1
_IMAGE_SYMBOL	1	no_match_worldserver	1
_INVEN_DB_BASE::_LIST	1	ok	0
_ITEMCOMBINE_DB_BASE	1	ok	0
_ITEMCOMBINE_DB_BASE	1	forward_decl_only	0
_LEAF_ENTITIES_LIST_INFO	1	forward_decl_only	0
_LEAF_ENTITIES_LIST_INFO	1	ok	0
_LEAF_ENTITIES_LIST_INFO	1	forward_decl_only	0
_LINK_DB_BASE	1	forward_decl_only	0
_LINK_DB_BASE	1	ok	0
_LTD	1	no_match_worldserver	1
_LTD_ARRAY_ITEM	1	no_match_worldserver	1
_LTD_EXPEND	1	no_match_worldserver	1
_LTD_ITEMINFO	1	no_match_worldserver	1
_LTD_ITEMINFO::_iteminfo	1	no_match_worldserver	1
_LTD_PARAM	1	no_match_worldserver	1
_MAP_ENTITIES_LIST	1	forward_decl_only	0
_MAP_ENTITIES_LIST	1	forward_decl_only	0
_MAP_ENTITIES_LIST	1	ok	0
_MAP_ENTITIES_LIST	1	forward_decl_only	0
_MASTERY_PARAM	1	forward_decl_only	0
_MASTERY_PARAM	1	ok	0
_MINIDUMP_MODULE	1	no_match_worldserver	1
_MINIDUMP_MODULE_CALLBACK	1	no_match_worldserver	1
_MINIDUMP_THREAD_CALLBACK	1	no_match_worldserver	1
_MINIDUMP_THREAD_EX_CALLBACK	1	no_match_worldserver	1
_MONEY_SUPPLY_DATA	1	ok	0
_NOT_ARRANGED_AVATOR_DB	1	forward_decl_only	0
_NOT_ARRANGED_AVATOR_DB	1	ok	0
_ONE_LAYER	1	ok	0
_PCBANG_PLAY_TIME	1	forward_decl_only	0
_PCBANG_PLAY_TIME	1	ok	0
_PCBANG_PLAY_TIME	1	forward_decl_only	0
_PERSONALAMINE_INVEN_DB_BASE	1	forward_decl_only	0
_PERSONALAMINE_INVEN_DB_BASE	1	ok	0
_POSTSTORAGE_DB_BASE::__list	1	ok	0
_PVPPOINT_LIMIT_DB_BASE	1	forward_decl_only	0
_PVPPOINT_LIMIT_DB_BASE	1	ok	0
_PVPPOINT_LIMIT_DB_BASE	1	forward_decl_only	0
_PVPPOINT_LIMIT_DB_BASE	1	forward_decl_only	0
_PVP_ORDER_VIEW_DB_BASE	1	forward_decl_only	0
_PVP_ORDER_VIEW_DB_BASE	1	ok	0
_PVP_ORDER_VIEW_DB_BASE	1	forward_decl_only	0
_PVP_ORDER_VIEW_DB_BASE	1	forward_decl_only	0
_PVP_ORDER_VIEW_DB_BASE	1	forward_decl_only	0
_PVP_RANK_DATA	1	forward_decl_only	0
_PVP_RANK_DATA	1	forward_decl_only	0
_PVP_RANK_DATA	1	forward_decl_only	0
_PVP_RANK_DATA	1	ok	0
_QUEST_DB_BASE::_LIST	1	ok	0
_QUEST_DB_BASE::_NPC_QUEST_HISTORY	1	ok	0
_QUEST_DB_BASE::_START_NPC_QUEST_HISTORY	1	ok	0
_Quest_fld	1	ok	0
_R3MATERIAL	1	forward_decl_only	0
_R3MATERIAL	1	ok	0
_R3MATERIAL	1	forward_decl_only	0
_R3MATERIAL	1	forward_decl_only	0
_R3MATERIAL	1	forward_decl_only	0
_R3MATERIAL	1	forward_decl_only	0
_R3MATERIAL	1	forward_decl_only	0
_R3MATERIAL	1	forward_decl_only	0
_R3MATERIAL	1	forward_decl_only	0
_R3MATERIAL	1	forward_decl_only	0
_READ_MAP_ENTITIES_LIST	1	ok	0
_READ_MAP_ENTITIES_LIST	1	forward_decl_only	0
_REGED	1	forward_decl_only	0
_REGED	1	ok	0
_REGED	1	forward_decl_only	0
_REGED_AVATOR_DB	1	forward_decl_only	0
_REGED_AVATOR_DB	1	ok	0
_REGED_AVATOR_DB	1	forward_decl_only	0
_RETURNPOST_DB_BASE	1	ok	0
_RTC_ALLOCA_NODE	1	no_match_worldserver	1
_SHChangeDWORDAsIDList	1	no_match_worldserver	1
_SHChangeNotifyEntry	1	no_match_worldserver	1
_SHChangeUpdateImageIDList	1	no_match_worldserver	1
_SHITEMID	1	no_match_worldserver	1
_STORAGE_LIST	1	ok	0
_STORAGE_LIST::_db_con	1	ok	0
_STORAGE_LIST::_storage_con	1	ok	0
_STORAGE_POS_INDIV	1	forward_decl_only	0
_STORAGE_POS_INDIV	1	forward_decl_only	0
_STORAGE_POS_INDIV	1	ok	0
_SUPPLEMENT_DB_BASE	1	forward_decl_only	0
_SUPPLEMENT_DB_BASE	1	ok	0
_TIMELIMITINFO_DB_BASE	1	forward_decl_only	0
_TIMELIMITINFO_DB_BASE	1	ok	0
_TOOL_COL_LEAF	1	ok	0
_TOOL_COL_LEAF	1	forward_decl_only	0
_TOOL_COL_LEAF	1	forward_decl_only	0
_TRADE_DB_BASE::_LIST	1	ok	0
_TRUNK_DB_BASE	1	forward_decl_only	0
_TRUNK_DB_BASE	1	ok	0
_TRUNK_DB_BASE::_LIST	1	ok	0
_UNIT_DB_BASE::_LIST	1	ok	0
_WAIT_ENTER_ACCOUNT	1	ok	0
_a_trade_adjust_price_request_clzo	1	ok	0
_a_trade_adjust_price_request_clzo	1	forward_decl_only	0
_a_trade_adjust_price_request_clzo	1	forward_decl_only	0
_a_trade_adjust_price_request_clzo	1	forward_decl_only	0
_a_trade_adjust_price_result_zocl	1	ok	0
_a_trade_clear_item_request_clzo	1	ok	0
_a_trade_clear_item_request_clzo	1	forward_decl_only	0
_a_trade_clear_item_request_clzo	1	forward_decl_only	0
_a_trade_clear_item_request_clzo	1	forward_decl_only	0
_a_trade_clear_item_result_zocl	1	ok	0
_a_trade_reg_item_request_clzo	1	ok	0
_a_trade_reg_item_request_clzo	1	forward_decl_only	0
_a_trade_reg_item_request_clzo	1	forward_decl_only	0
_a_trade_reg_item_request_clzo	1	forward_decl_only	0
_a_trade_sell_inform_zocl	1	ok	0
_add_holyquest_actcum_inform_zocl	1	ok	0
_add_lend_item_result_zocl	1	ok	0
_adjust_amount_inform_zocl	1	ok	0
