"ClassName","Method"
"CMainThread","CMainThread"
"CMapData","UpdateSecterList"
"CPvpCashMng","CPvpCashMng"
"CPvpUserAndGuildRankingSystem","CPvpUserAndGuildRankingSystem"
"CQuestMgr","GiveItem"
"CRFWorldDatabase","Select_OldVerPatriarchGroup"
"CRFWorldDatabase","Select_PatriarchCandidate"
"CRFWorldDatabase","Select_PatriarchGroup"
"CUnmannedTraderUserInfo","SetCompleteInfo"
"HACKSHEILD_PARAM_ANTICP","IsLogPass"
"HACKSHEILD_PARAM_ANTICP","OnCheckSession_FirstVerify"
"HACKSHEILD_PARAM_ANTICP","OnConnect"
"HACKSHEILD_PARAM_ANTICP","OnDisConnect"
"HACKSHEILD_PARAM_ANTICP","OnLoop"
"HACKSHEILD_PARAM_ANTICP","OnRecvSession"
"HACKSHEILD_PARAM_ANTICP","OnRecvSession_ClientCrc_Response"
