"ClassName","Method"
"CBsp","DrawCollisionPoly"
"CBsp","DrawDynamicLights"
"CBsp","DrawDynamicLightSub"
"CBsp","DrawLeafBBox"
"CBsp","DrawLeafCollisionPoly"
"CBsp","DrawMagicLightSub"
"CBsp","DrawMatBBox"
"CBsp","DrawShadowRender"
"CBsp","FrameMoveEnvironment"
"CBsp","FrameMoveMapEntities"
"CBsp","GetPointFromScreenRay"
"CBsp","GetPointFromScreenRayFar"
"CBsp","GetYposInLeafNoAttr"
"CBsp","HearMapSound"
"CBsp","IsCollisionFaceForServer"
"CBsp","IsCollisionFromPath"
"CBsp","IsInWater"
"CBsp","LoadEnvironment"
"CBsp","RenderCollisionLeaf"
"CBsp","RenderIndepentMatGroup"
"CBsp","RenderMatGroup"
"CBsp","RenderOneEntityRender"
"CBsp","SaveExtBsp"
"CEntity","AddFlag"
"CEntity","DrawEntity"
"CEntity","DrawEntityVS"
"CEntity","DrawOneMatGroup"
"CEntity","DrawOneMatGroupVS"
"CEntity","GetAnimationMatrix"
"CEntity","GetMatGroup"
"CEntity","GetMatGroupNum"
"CEntity","GetMatNum"
"CEntity","GetObjectA"
"CEntity","GetStaticIndexedBuffer"
"CEntity","GetStaticVertexBuffer"
"CEntity","GetUsedVertexBufferSize"
"CEntity","IsAlpha"
"CEntity","IsEnableShaderID"
"CEntity","IsFirstAlpha"
"CEntity","OnceDrawEntity"
"CEntity","SetMapColor"
"CEntity","SetMaterialAndLight"
"CEntity","SetVertexShaderID"
"CGuild","ActVote"
"CGuild","CancelSuggestedMatter"
"CGuild","ForceLeave"
"CGuild","GetMemberNumForJoin"
"CGuild","GetRace"
"CGuild","GuildBattleSuggestRequestToDestGuild"
"CGuild","SetTemp"
"CGuild","UpdateUTATax"
"CGuildBattleController","CheatCreateFieldObject"
"CGuildBattleController","CheatDestroyFieldObject"
"CGuildBattleController","CheatDestroyStone"
"CGuildBattleController","CheatDropStone"
"CGuildBattleController","CheatForceTakeStone"
"CGuildBattleController","Destroy"
"CGuildBattleController","DropGravityStone"
