WorldServer Parity Summary Report
Date: 2026-03-03 04:14:54

SourceRoot: .\WorldServer\Entities
IdaFunctionsRoot: .\WorldServerIdaPro\functions

Classes with local defs: 782
Classes with ida defs:   2580
Intersection audited:    359

Top 156 classes by missing count:
CBsp | missing=56 short=8 extra=1 | local=34 ida=89
lua_tinker | missing=40 short=1 extra=3 | local=15 ida=52
std | missing=33 short=0 extra=12 | local=12 ida=33
CashItemRemoteStore | missing=28 short=3 extra=22 | local=74 ida=80
CLevel | missing=26 short=1 extra=1 | local=12 ida=37
CRFWorldDatabase | missing=22 short=3 extra=0 | local=308 ida=330
CMgrAvatorItemHistory | missing=21 short=0 extra=1 | local=74 ida=94
CEntity | missing=20 short=0 extra=1 | local=7 ida=26
WheatyExceptionReport | missing=17 short=0 extra=0 | local=2 ida=19
CPlayer | missing=14 short=27 extra=43 | local=1010 ida=981
CAniCamera | missing=14 short=0 extra=1 | local=2 ida=15
CNationSettingDataNULL | missing=14 short=0 extra=0 | local=2 ida=16
CChiNetworkEX | missing=12 short=3 extra=0 | local=6 ida=18
CPlayerDB | missing=12 short=1 extra=1 | local=63 ida=74
CGameServerView | missing=12 short=0 extra=1 | local=18 ida=29
CParticle | missing=12 short=0 extra=1 | local=12 ida=23
CUserDB | missing=12 short=0 extra=1 | local=113 ida=124
CGuild | missing=11 short=1 extra=1 | local=93 ida=103
CHackShieldExSystem | missing=10 short=0 extra=1 | local=2 ida=11
CMainThread | missing=9 short=5 extra=72 | local=217 ida=154
CCryptor | missing=9 short=1 extra=1 | local=4 ida=12
CMgrAvatorQuestHistory | missing=9 short=0 extra=1 | local=3 ida=11
GMCallMgr | missing=9 short=0 extra=0 | local=3 ida=12
CGuildBattleController | missing=8 short=3 extra=1 | local=47 ida=54
CHolyStoneSystem | missing=8 short=2 extra=0 | local=82 ida=90
CProcessThread | missing=8 short=1 extra=1 | local=5 ida=12
CAlpha | missing=8 short=0 extra=1 | local=3 ida=10
CNationSettingDataCN | missing=8 short=0 extra=0 | local=2 ida=10
CNationSettingDataPH | missing=8 short=0 extra=0 | local=2 ida=10
CMgrGuildHistory | missing=7 short=1 extra=1 | local=10 ida=16
TRC_AutoTrade | missing=7 short=0 extra=2 | local=21 ida=26
CGameServerDoc | missing=7 short=0 extra=1 | local=6 ida=12
CGravityStoneRegener | missing=7 short=0 extra=0 | local=6 ida=13
CNationSettingDataBR | missing=7 short=0 extra=0 | local=2 ida=9
CNationSettingDataGB | missing=7 short=0 extra=0 | local=1 ida=8
CNationSettingDataID | missing=7 short=0 extra=0 | local=2 ida=9
CNationSettingDataJP | missing=7 short=0 extra=0 | local=2 ida=9
CNationSettingDataKR | missing=7 short=0 extra=0 | local=2 ida=9
CNationSettingDataTH | missing=7 short=0 extra=0 | local=1 ida=8
CNationSettingDataTW | missing=7 short=0 extra=0 | local=1 ida=8
CRFDBItemLog | missing=7 short=0 extra=0 | local=1 ida=8
CTimer | missing=7 short=0 extra=0 | local=1 ida=8
HACKSHEILD_PARAM_ANTICP | missing=7 short=0 extra=0 | local=6 ida=13
CPvpOrderView | missing=6 short=1 extra=0 | local=17 ida=23
CCharacter | missing=6 short=0 extra=5 | local=44 ida=45
CMonster | missing=5 short=2 extra=14 | local=135 ida=126
CGuardTower | missing=5 short=1 extra=1 | local=42 ida=46
CServerTab | missing=5 short=1 extra=1 | local=7 ida=11
TimeLimitMgr | missing=5 short=1 extra=0 | local=24 ida=29
CExtDummy | missing=5 short=0 extra=1 | local=7 ida=11
CFormView | missing=5 short=0 extra=1 | local=1 ida=5
CIPXTab | missing=5 short=0 extra=1 | local=8 ida=12
CMapTab | missing=5 short=0 extra=1 | local=6 ida=10
CObjectTab | missing=5 short=0 extra=1 | local=11 ida=15
CTCPTab | missing=5 short=0 extra=1 | local=9 ida=13
CCircleZone | missing=5 short=0 extra=0 | local=6 ida=11
CGravityStone | missing=5 short=0 extra=0 | local=12 ida=17
CNationSettingDataES | missing=5 short=0 extra=0 | local=1 ida=6
CNationSettingDataUS | missing=5 short=0 extra=0 | local=1 ida=6
CTrap | missing=5 short=0 extra=0 | local=39 ida=44
CUnmannedTraderUserInfo | missing=4 short=13 extra=3 | local=72 ida=73
PatriarchElectProcessor | missing=4 short=3 extra=0 | local=28 ida=32
CandidateMgr | missing=4 short=2 extra=5 | local=39 ida=38
CQuestMgr | missing=4 short=1 extra=15 | local=42 ida=31
