ea,segment,name,kind,value,used_by_functions,log_like
0x140000000,HEADER,__ImageBase,bytes[64],4D 5A 90 00 03 00 00 00 04 00 00 00 FF FF 00 00 B8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 18 01 00 00,?GetItemDurPoint@@YAHHH@Z;?GetItemStdPoint@@YAHHHHPEAE@Z;?GetItemProcPoint@@YAHHHHPEAE@Z;?GetItemKillPoint@@YAHHHHPEAE@Z;?GetItemGoldPoint@@YAHHHHPEAE@Z;?GetItemStdPrice@@YAHHHHPEAE@Z;?GetItemStoragePrice@@YAHHHH@Z;?GetItemEquipLevel@@YAHHH@Z;?GetItemEquipUpLevel@@YAHHH@Z;?GetItemEquipCivil@@YAPEADHH@Z;?GetItemKorName@@YAPEADHH@Z;?IsRepairableItem@@YAHHH@Z;?IsAbrItem@@YAHHH@Z;?IsGroundableItem@@YAHHH@Z;?IsExistItem@@YAHHH@Z;?IsStorageRange@@YAHEE@Z;?IsTrunkIOAble@@YAHHH@Z;?IsNormalAccountUsable@@YAHHH@Z;?IsItemSerialNum@@YAHH@Z;?IsItemCombineExKind@@YAHH@Z;?GetWeaponClass@@YAEH@Z;?CalcMastery@@YAHHHKH@Z;?GetItemEquipGrade@@YAHHH@Z;?GetItemEquipGrade@@YAHHPEBD@Z;?IsCashItem@@YAHEK@Z;?IsSellItem@@YAHHH@Z;?IsExchangeItem@@YAHHH@Z;?IsTimeItem@@YAHEK@Z;?apply_have_item_std_effect@CPlayer@@QEAAXHM_NH@Z;?_GetItemEffect@CPlayer@@QEAAPEAU_ITEM_EFFECT@@PEAU_db_con@_STORAGE_LIST@@@Z;?apply_normal_item_std_effect@CPlayer@@QEAAXHM_N@Z;?apply_case_equip_upgrade_effect@CPlayer@@QEAAXPEAU_db_con@_STORAGE_LIST@@_N@Z,0
0x140000220,HEADER,str_140000220,string,""".text""",,0
0x140000248,HEADER,str_140000248,string,""".rdata""",,0
0x140000270,HEADER,str_140000270,string,""".data""",,0
0x140000298,HEADER,str_140000298,string,""".pdata""",,0
0x1400002C0,HEADER,str_1400002C0,string,""".idata""",,0
0x1400002E8,HEADER,str_1400002E8,string,""".didat""",,0
0x140000310,HEADER,str_140000310,string,""".rsrc""",,0
0x1406EB000,.rdata,__xc_a,bytes[8],00 00 00 00 00 00 00 00,__tmainCRTStartup,0
0x1406EB110,.rdata,pcppinit,bytes[8],B0 D2 4D 40 01 00 00 00,,0
